appId,store,flag
com.umetime.umetimeapp,playstore,dual-use
com.apple.Magnifier,playstore,dual-use
com.apple.mobilenotes,playstore,dual-use
com.bitstrips.imoji,playstore,dual-use
com.apple.ScreenSharingViewService,playstore,dual-use
com.apple.iBooks,playstore,dual-use
org.whispersystems.signal,playstore,dual-use
com.apple.mobilemail,playstore,dual-use
com.apple.CompassCalibrationViewService,playstore,dual-use
com.apple.mobilesms.compose,playstore,dual-use
com.availtec.mystop,playstore,dual-use
com.apple.PhotosViewService,playstore,dual-use
com.pointabout.washingtonpost,playstore,dual-use
com.apple.mobiletimer,playstore,dual-use
com.nytimes.NYTimes,playstore,dual-use
com.apple.Diagnostics,playstore,dual-use
com.facebook.Messenger,playstore,dual-use
com.apple.weather,playstore,dual-use
com.google.Authenticator,playstore,dual-use
com.apple.SharedWebCredentialViewService,playstore,dual-use
com.apple.CTCarrierSpaceAuth,playstore,dual-use
jp.pokemon.koiking,playstore,dual-use
org.npr.one,playstore,dual-se
com.apple.mobileme.fmf1,playstore,dual-use
com.apple.gamecenter.GameCenterUIService,playstore,dual-use
com.apple.WebContentFilter.remoteUI.WebContentAnalysisUI,playstore,dual-use
com.microsoft.Office.Word,playstore,dual-use
com.linkedin.LinkedIn,playstore,dual-use
com.apple.DocumentsApp,playstore,dual-use
