permission,freq
find_accounts_on_the_device,1319
read_your_contacts,2249
directly_call_phone_numbers,1061
reroute_outgoing_calls,1211
read_the_contents_of_your_USB_storage,3593
modify_or_delete_the_contents_of_your_USB_storage,3506
record_audio,1515
read_phone_status_and_identity,2779
view_network_connections,4402
pair_with_Bluetooth_devices,472
full_network_access,4656
change_your_audio_settings,696
run_at_startup,2030
use_accounts_on_the_device,429
control_vibration,1441
prevent_device_from_sleeping,2689
read_Google_service_configuration,824
receive_data_from_Internet,1998
approximate_location_(network-based),1926
precise_location_(GPS_and_network-based),2157
view_Wi-Fi_connections,1877
read_your_text_messages_(SMS_or_MMS),873
receive_text_messages_(SMS),959
send_SMS_messages,995
draw_over_other_apps,788
modify_system_settings,439
set_an_alarm,89
edit_your_text_messages_(SMS_or_MMS),426
read_call_log,894
read_sensitive_log_data,235
take_pictures_and_videos,759
read_your_own_contact_card,194
capture_audio_output,142
retrieve_running_apps,551
modify_your_contacts,441
write_call_log,247
read_battery_statistics,112
change_network_connectivity,342
connect_and_disconnect_from_Wi-Fi,626
read_calendar_events_plus_confidential_information,118
access_Bluetooth_settings,312
send_sticky_broadcast,125
control_Near_Field_Communication,58
power_device_on_or_off,24
modify_battery_statistics,22
read_your_Web_bookmarks_and_history,123
write_web_bookmarks_and_history,68
update_component_usage_statistics,140
modify_phone_state,78
mock_location_sources_for_testing,106
close_other_apps,185
Access_download_manager.,23
modify_secure_system_settings,64
delete_all_app_cache_data,36
disable_your_screen_lock,216
Google_Play_license_check,153
display_unauthorized_windows,6
create_accounts_and_set_passwords,136
add_or_modify_calendar_events_and_send_email_to_guests_without_owners'_knowledge,87
control_media_playback_and_metadata_access,12
make/receive_SIP_calls,14
full_license_to_interact_across_users,37
install_shortcuts,181
access_USB_storage_filesystem,149
access_extra_location_provider_commands,121
control_flashlight,126
reorder_running_apps,28
expand/collapse_status_bar,38
bind_to_an_accessibility_service,40
receive_text_messages_(MMS),133
receive_text_messages_(WAP),36
read_precise_phone_states,3
uninstall_shortcuts,71
download_files_without_notification,33
set_wallpaper,77
add_or_remove_accounts,218
change_system_display_settings,59
modify_your_own_contact_card,11
read_sync_settings,152
toggle_sync_on_and_off,161
read_your_social_stream,8
Broadcast_data_messages_to_apps.,4
,9587
change_background_data_usage_setting,2
directly_call_any_phone_numbers,15
read_Home_settings_and_shortcuts,64
write_Home_settings_and_shortcuts,41
delete_apps,11
directly_install_apps,14
read_sync_statistics,72
bind_to_a_notification_listener_service,13
measure_app_storage_space,48
interact_with_a_device_admin,12
force_device_reboot,13
set_time_zone,9
manage_document_storage,36
erase_USB_storage,11
capture_video_output,8
allow_Wi-Fi_Multicast_reception,78
get_current_app_info,7
enable_app_debugging,15
send_SMS-received_broadcast,15
capture_secure_video_output,3
enable_or_disable_app_components,12
body_sensors_(like_heart_rate_monitors),6
interact_across_users,18
access_notifications,7
score_networks,5
change_keyboard_layout,6
change/intercept_network_settings_and_traffic,26
delete_other_apps'_data,4
force_stop_other_apps,7
add_or_remove_a_device_admin,4
manage_users,15
status_bar,4
modify_app_ops_statistics,17
allow_Bluetooth_pairing_by_Application,10
interact_with_in-call_screen,1
act_as_the_AccountManagerService,15
test_hardware,4
bind_to_a_wallpaper,7
read_terms_you_added_to_the_dictionary,19
add_words_to_user-defined_dictionary,20
send_package_removed_broadcast,6
modify/delete_internal_media_storage_contents,14
modify_the_Google_services_map,3
retrieve_app_ops_statistics,6
make_app_always_run,3
write_to_your_social_stream,6
control_location_update_notifications,4
choose_widgets,5
adjust_your_wallpaper_size,21
view_configured_accounts,5
Google_Maps,1
Google_Spreadsheets,2
Google_Docs,2
Send_download_notifications.,3
retrieve_system_internal_state,3
force_background_apps_to_close,1
modify_global_animation_speed,2
set_preferred_apps,6
limit_number_of_running_processes,2
send_Linux_signals_to_apps,1
access_checkin_properties,1
access_SurfaceFlinger,4
bind_to_an_input_method,2
bind_to_a_widget_service,1
bind_to_a_text_service,1
bind_to_a_VPN_service,2
permanently_disable_device,1
send_WAP-PUSH-received_broadcast,5
delete_other_apps'_caches,7
read/write_to_resources_owned_by_diag,2
run_in_factory_test_mode,1
force_app_to_close,2
press_keys_and_control_buttons,6
permission_to_install_a_location_provider,6
manage_app_tokens,1
reset_system_to_factory_defaults,3
read_frame_buffer,3
record_what_you_type_and_actions_you_take,2
monitor_and_control_all_app_launching,1
change_screen_orientation,2
change_pointer_speed,1
set_time,1
disable_or_modify_status_bar,3
read_subscribed_feeds,4
write_subscribed_feeds,3
manage_network_policy,1
send_respond-via-message_events,10
Advanced_download_manager_functions.,1
Change_WiMAX_state,2
connect_and_disconnect_from_WiMAX,3
read_instant_messages,2
transmit_infrared,17
access_external_storage_of_all_users,1
control_system_backup_and_restore,3
manage_preferences_and_permissions_for_USB_devices,2
Access_email_provider_data,4
manage_activity_stacks,1
read_voicemail,2
receive_emergency_broadcasts,1
MMS_Wakeup,2
move_app_resources,1
read_historical_network_usage,6
Hotword_detection,1
Google_mail,1
Read_email_attachments,1
access_all_Google_services,1
access_other_Google_services,1
Blogger,1
Picasa_Web_Albums,1
access_content_providers_externally,1
manage_trusted_credentials,1
